symbol,name
ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide"
ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
ADH6,alcohol dehydrogenase 6 (class V)
ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
ADHFE1,alcohol dehydrogenase iron containing 1
ADI1,acireductone dioxygenase 1
ADIG,adipogenin
ADIPOQ,"adiponectin, C1Q and collagen domain containing"
ADIPOR1,adiponectin receptor 1
ADIPOR2,adiponectin receptor 2
ADIRF,adipogenesis regulatory factor
ADISSP,adipose secreted signaling protein
ADK,adenosine kinase
ADM,adrenomedullin
ADM2,adrenomedullin 2
ADM5,adrenomedullin 5 (putative)
ADNP,activity dependent neuroprotector homeobox
ADNP2,ADNP homeobox 2
ADO,2-aminoethanethiol dioxygenase
ADORA1,adenosine A1 receptor
ADORA2A,adenosine A2a receptor
ADORA2B,adenosine A2b receptor
ADORA3,adenosine A3 receptor
ADPGK,ADP dependent glucokinase
ADPRH,ADP-ribosylarginine hydrolase
ADPRHL1,ADP-ribosylhydrolase like 1
ADPRM,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"
ADPRS,ADP-ribosylserine hydrolase
ADRA1A,adrenoceptor alpha 1A
ADRA1B,adrenoceptor alpha 1B
ADRA1D,adrenoceptor alpha 1D
ADRA2A,adrenoceptor alpha 2A
ADRA2B,adrenoceptor alpha 2B
ADRA2C,adrenoceptor alpha 2C
ADRB1,adrenoceptor beta 1
ADRB2,adrenoceptor beta 2
ADRB3,adrenoceptor beta 3
ADRM1,ADRM1 26S proteasome ubiquitin receptor
ADSL,adenylosuccinate lyase
ADSS1,adenylosuccinate synthase 1
ADSS2,adenylosuccinate synthase 2
ADTRP,androgen dependent TFPI regulating protein
AEBP1,AE binding protein 1
AEBP2,AE binding protein 2
AEN,apoptosis enhancing nuclease
AFAP1,actin filament associated protein 1
AFAP1L1,actin filament associated protein 1 like 1
AFAP1L2,actin filament associated protein 1 like 2
AFDN,"afadin, adherens junction formation factor"
AFF1,ALF transcription elongation factor 1
AFF2,ALF transcription elongation factor 2
AFF3,ALF transcription elongation factor 3
AFF4,ALF transcription elongation factor 4
AFG1L,AFG1 like ATPase
AFG2A,AAA ATPase AFG2A
AFG2B,AAA ATPase AFG2B
AFG3L2,AFG3 like matrix AAA peptidase subunit 2
AFM,afamin
AFMID,arylformamidase
AFP,alpha fetoprotein
AFTPH,aftiphilin
AGA,aspartylglucosaminidase
AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
AGAP4,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 4"
AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"
AGAP6,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"
AGAP9,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9"
AGBL1,AGBL carboxypeptidase 1
AGBL2,AGBL carboxypeptidase 2
AGBL3,AGBL carboxypeptidase 3
AGBL4,AGBL carboxypeptidase 4
AGBL5,AGBL carboxypeptidase 5
AGER,advanced glycosylation end-product specific receptor
AGFG1,ArfGAP with FG repeats 1
AGFG2,ArfGAP with FG repeats 2
AGGF1,angiogenic factor with G-patch and FHA domains 1
AGK,acylglycerol kinase
AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase"
AGMAT,agmatinase (putative)
AGMO,alkylglycerol monooxygenase
AGO1,argonaute RISC component 1
AGO2,argonaute RISC catalytic component 2
AGO3,argonaute RISC catalytic component 3
AGO4,argonaute RISC component 4
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1
AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3
AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4
AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5
AGPS,alkylglycerone phosphate synthase
AGR2,"anterior gradient 2, protein disulphide isomerase family member"
AGR3,"anterior gradient 3, protein disulphide isomerase family member"
AGRN,agrin
AGRP,agouti related neuropeptide
AGT,angiotensinogen
AGTPBP1,ATP/GTP binding carboxypeptidase 1
AGTR1,angiotensin II receptor type 1
AGTR2,angiotensin II receptor type 2
AGTRAP,angiotensin II receptor associated protein
AGXT,alanine--glyoxylate aminotransferase
AGXT2,alanine--glyoxylate aminotransferase 2
AHCTF1,AT-hook containing transcription factor 1
AHCY,adenosylhomocysteinase
AHCYL1,adenosylhomocysteinase like 1
AHCYL2,adenosylhomocysteinase like 2
AHDC1,AT-hook DNA binding motif containing 1
AHI1,Abelson helper integration site 1
AHNAK,AHNAK nucleoprotein
AHNAK2,AHNAK nucleoprotein 2
AHR,aryl hydrocarbon receptor
AHRR,aryl hydrocarbon receptor repressor
AHSA1,activator of HSP90 ATPase activity 1
AHSG,alpha 2-HS glycoprotein
AHSP,alpha hemoglobin stabilizing protein
AICDA,activation induced cytidine deaminase
AIDA,"axin interactor, dorsalization associated"
AIF1,allograft inflammatory factor 1
AIF1L,allograft inflammatory factor 1 like
AIFM1,apoptosis inducing factor mitochondria associated 1
AIFM2,"AIF family member 2, ferroptosis suppressor"
AIFM3,AIF family member 3
AIG1,androgen induced 1
AIM2,absent in melanoma 2
AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1
AIMP2,aminoacyl tRNA synthetase complex interacting multifunctional protein 2
AIP,AHR interacting HSP90 co-chaperone
AIPL1,AIP like 1 HSP90 co-chaperone
AIRE,autoimmune regulator
AIRIM,AFG2 interacting ribosome maturation factor
AJAP1,adherens junctions associated protein 1
AJM1,apical junction component 1 homolog
AJUBA,ajuba LIM protein
AK1,adenylate kinase 1
AK2,adenylate kinase 2
AK3,adenylate kinase 3
AK4,adenylate kinase 4
AK5,adenylate kinase 5
AK6,adenylate kinase 6
AK7,adenylate kinase 7
AK8,adenylate kinase 8
AK9,adenylate kinase 9
AKAIN1,A-kinase anchor inhibitor 1
AKAP1,A-kinase anchoring protein 1
AKAP10,A-kinase anchoring protein 10
AKAP11,A-kinase anchoring protein 11
AKAP12,A-kinase anchoring protein 12
AKAP13,A-kinase anchoring protein 13
AKAP14,A-kinase anchoring protein 14
AKAP17A,A-kinase anchoring protein 17A
AKAP19,A-kinase anchoring protein 19
AKAP3,A-kinase anchoring protein 3
AKAP4,A-kinase anchoring protein 4
AKAP5,A-kinase anchoring protein 5
AKAP6,A-kinase anchoring protein 6
AKAP7,A-kinase anchoring protein 7
AKAP8,A-kinase anchoring protein 8
AKAP8L,A-kinase anchoring protein 8 like
AKAP9,A-kinase anchoring protein 9
AKIP1,A-kinase interacting protein 1
AKIRIN1,akirin 1
AKIRIN2,akirin 2
AKNA,AT-hook transcription factor
AKNAD1,AKNA domain containing 1
AKR1A1,aldo-keto reductase family 1 member A1
AKR1B1,aldo-keto reductase family 1 member B
AKR1B10,aldo-keto reductase family 1 member B10
AKR1B15,aldo-keto reductase family 1 member B15
AKR1C1,aldo-keto reductase family 1 member C1
AKR1C2,aldo-keto reductase family 1 member C2
AKR1C3,aldo-keto reductase family 1 member C3
AKR1C4,aldo-keto reductase family 1 member C4
AKR1C8,aldo-keto reductase family 1 member C8
AKR1D1,aldo-keto reductase family 1 member D1
AKR1E2,aldo-keto reductase family 1 member E2
AKR7A2,aldo-keto reductase family 7 member A2
AKR7A3,aldo-keto reductase family 7 member A3
AKR7L,aldo-keto reductase family 7 like (gene/pseudogene)
AKT1,AKT serine/threonine kinase 1
AKT1S1,AKT1 substrate 1
AKT2,AKT serine/threonine kinase 2
AKT3,AKT serine/threonine kinase 3
AKTIP,AKT interacting protein
ALAD,aminolevulinate dehydratase
ALAS1,5'-aminolevulinate synthase 1
ALAS2,5'-aminolevulinate synthase 2
ALB,albumin
ALCAM,activated leukocyte cell adhesion molecule
ALDH16A1,aldehyde dehydrogenase 16 family member A1
ALDH18A1,aldehyde dehydrogenase 18 family member A1
ALDH1A1,aldehyde dehydrogenase 1 family member A1
ALDH1A2,aldehyde dehydrogenase 1 family member A2
ALDH1A3,aldehyde dehydrogenase 1 family member A3
ALDH1B1,aldehyde dehydrogenase 1 family member B1
ALDH1L1,aldehyde dehydrogenase 1 family member L1
ALDH1L2,aldehyde dehydrogenase 1 family member L2
ALDH2,aldehyde dehydrogenase 2 family member
ALDH3A1,aldehyde dehydrogenase 3 family member A1
ALDH3A2,aldehyde dehydrogenase 3 family member A2
ALDH3B1,aldehyde dehydrogenase 3 family member B1
ALDH3B2,aldehyde dehydrogenase 3 family member B2
ALDH4A1,aldehyde dehydrogenase 4 family member A1
ALDH5A1,aldehyde dehydrogenase 5 family member A1
ALDH6A1,aldehyde dehydrogenase 6 family member A1
ALDH7A1,aldehyde dehydrogenase 7 family member A1
ALDH8A1,aldehyde dehydrogenase 8 family member A1
ALDH9A1,aldehyde dehydrogenase 9 family member A1
ALDOA,"aldolase, fructose-bisphosphate A"
ALDOB,"aldolase, fructose-bisphosphate B"
ALDOC,"aldolase, fructose-bisphosphate C"
ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ALG10,"ALG10 alpha-1,2-glucosyltransferase"
ALG10B,"ALG10 alpha-1,2-glucosyltransferase B"
ALG11,"ALG11 alpha-1,2-mannosyltransferase"
ALG12,"ALG12 alpha-1,6-mannosyltransferase"
ALG13,ALG13 UDP-N-acetylglucosaminyltransferase subunit
ALG14,ALG14 UDP-N-acetylglucosaminyltransferase subunit
ALG1L2,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2
ALG2,"ALG2 alpha-1,3/1,6-mannosyltransferase"
ALG3,"ALG3 alpha-1,3- mannosyltransferase"
ALG5,ALG5 dolichyl-phosphate beta-glucosyltransferase
ALG6,"ALG6 alpha-1,3-glucosyltransferase"
ALG8,"ALG8 alpha-1,3-glucosyltransferase"
ALG9,"ALG9 alpha-1,2-mannosyltransferase"
ALK,ALK receptor tyrosine kinase
ALKAL1,ALK and LTK ligand 1
ALKAL2,ALK and LTK ligand 2
ALKBH1,"alkB homolog 1, histone H2A dioxygenase"
ALKBH2,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase"
ALKBH3,"alkB homolog 3, alpha-ketoglutarate dependent dioxygenase"
ALKBH4,"alkB homolog 4, lysine demethylase"
ALKBH5,"alkB homolog 5, RNA demethylase"
ALKBH6,"alkB homolog 6, nucleotide demethylase"
ALKBH7,"alkB homolog 7, RNA demethylase"
ALKBH8,"alkB homolog 8, tRNA methyltransferase"
ALLC,allantoicase
ALMS1,ALMS1 centrosome and basal body associated protein
ALOX12,"arachidonate 12-lipoxygenase, 12S type"
ALOX12B,"arachidonate 12-lipoxygenase, 12R type"
ALOX15,arachidonate 15-lipoxygenase
ALOX15B,arachidonate 15-lipoxygenase type B
ALOX5,arachidonate 5-lipoxygenase
ALOX5AP,arachidonate 5-lipoxygenase activating protein
ALOXE3,arachidonate epidermal lipoxygenase 3
ALPG,"alkaline phosphatase, germ cell"
ALPI,"alkaline phosphatase, intestinal"
ALPK1,alpha kinase 1
ALPK2,alpha kinase 2
ALPK3,alpha kinase 3
ALPL,"alkaline phosphatase, biomineralization associated"
ALPP,"alkaline phosphatase, placental"
ALS2,alsin Rho guanine nucleotide exchange factor ALS2
ALS2CL,ALS2 C-terminal like
ALX1,ALX homeobox 1
ALX3,ALX homeobox 3
ALX4,ALX homeobox 4
ALYREF,Aly/REF export factor
AMACR,alpha-methylacyl-CoA racemase
AMBN,ameloblastin
AMBP,alpha-1-microglobulin/bikunin precursor
AMBRA1,autophagy and beclin 1 regulator 1
AMD1,adenosylmethionine decarboxylase 1
AMDHD1,amidohydrolase domain containing 1
AMDHD2,amidohydrolase domain containing 2
AMELX,amelogenin X-linked
AMELY,amelogenin Y-linked
AMER1,APC membrane recruitment protein 1
